TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 69936029, -0.1180397, 0.03400872, 0.003851242, 0.07485498, -0.04620817, 0.01387206, 0.001796858, 0.03719595, -0.9696548, -0.2340072, 126.6827
 70136028, -0.1164127, 0.03377662, 0.003018513, 0.07485275, -0.04599257, 0.0135916, 0.00205419, 0.03720321, -0.969743, -0.2336287, 126.6789
 70336037, -0.116579, 0.03255705, 0.004228369, 0.0748509, -0.0473491, 0.01196292, 0.0006191518, 0.03718441, -0.9698281, -0.2332657, 126.6758
 70536040, -0.1182428, 0.03060247, 0.003608357, 0.07484271, -0.04577775, 0.01214273, 0.002005045, 0.03719464, -0.9699109, -0.2328973, 126.6619
 70736183, -0.1170751, 0.03164253, 0.005080779, 0.07485423, -0.04762753, 0.01331414, 0.0004426956, 0.03719371, -0.9699966, -0.2325281, 126.6815
 70936026, -0.1173623, 0.0324243, 0.00294256, 0.07485367, -0.04537836, 0.01237733, 0.001632117, 0.03719818, -0.9701118, -0.2320415, 126.6805
 71136008, -0.1161043, 0.03139649, 0.003977921, 0.07485499, -0.04665298, 0.01263439, 0.00189715, 0.03719484, -0.9702168, -0.2315903, 126.6827
 71336045, -0.118591, 0.03117758, 0.003914516, 0.07485294, -0.04760837, 0.01143942, 0.001468079, 0.03719353, -0.9703114, -0.2311939, 126.6793
 71536037, -0.1180408, 0.03016997, 0.003126955, 0.07485274, -0.04671473, 0.0119588, 0.0003607882, 0.03719613, -0.9703719, -0.2309427, 126.6789
 71736076, -0.1186236, 0.03083117, 0.002257501, 0.07485349, -0.04687211, 0.01184945, 0.0007679773, 0.03719242, -0.9704742, -0.2305118, 126.6802
 71936023, -0.1188474, 0.03100921, 0.003584144, 0.07485238, -0.04742469, 0.01347146, 0.002495168, 0.03719576, -0.9705998, -0.2299738, 126.6783
 72136025, -0.1185519, 0.03284998, 0.003015286, 0.07485498, -0.04643101, 0.01213945, 0.0008075226, 0.03719818, -0.970696, -0.2295678, 126.6827
 72336025, -0.1188989, 0.03122311, 0.003063826, 0.07485424, -0.047447, 0.01203235, 0.0006927548, 0.03719743, -0.9707559, -0.2293181, 126.6815
 72536167, -0.1201446, 0.0303458, 0.003447376, 0.07485107, -0.04695782, 0.0115603, 0.001476925, 0.03719223, -0.970833, -0.2289787, 126.6761
 72736050, -0.1190757, 0.02938353, 0.003754464, 0.0748509, -0.04684924, 0.01135209, 0.002279537, 0.0371939, -0.9709126, -0.2286444, 126.6758
 72936195, -0.118991, 0.03067033, 0.003305919, 0.074852, -0.04684666, 0.01238851, 0.001664886, 0.0371926, -0.9710125, -0.2282255, 126.6777
 73136027, -0.1190596, 0.0310757, 0.003478271, 0.07485425, -0.04744729, 0.01192292, 0.002608509, 0.03719502, -0.9710855, -0.2279045, 126.6815
 73336038, -0.1196535, 0.03050225, 0.003398605, 0.07485498, -0.04752501, 0.01259134, 0.0004990538, 0.03720152, -0.9711576, -0.227608, 126.6827
 73536039, -0.1189714, 0.03001705, 0.002682263, 0.07485721, -0.045787, 0.01210561, 0.001988803, 0.03719112, -0.9712216, -0.2273476, 126.6865
 73736051, -0.1192155, 0.03077138, 0.003833679, 0.07484847, -0.04870589, 0.01302308, 0.0001308011, 0.03719688, -0.9713033, -0.2270015, 126.6717
