TimeUS,gpSA,gpHA,gpVA
 202381376, 0.34, 1.272, 1.84
 202601476, 0.329, 1.272, 1.839
 202781483, 0.367, 1.272, 1.838
 202981482, 0.3, 1.271, 1.836
 203181363, 0.34, 1.27, 1.835
 203381478, 0.37, 1.27, 1.832
 203581375, 0.388, 1.269, 1.83
 203781490, 0.33, 1.268, 1.829
 203981635, 0.348, 1.268, 1.827
 204181490, 0.303, 1.267, 1.826
 204381474, 0.362, 1.266, 1.824
 204601481, 0.363, 1.265, 1.822
 204781633, 0.323, 1.264, 1.82
 205001382, 0.366, 1.263, 1.818
 205181456, 0.361, 1.263, 1.816
 205401502, 0.362, 1.262, 1.814
 205581466, 0.36, 1.261, 1.813
 205781617, 0.385, 1.26, 1.811
 205981472, 0.386, 1.258, 1.809
 206181465, 0.338, 1.257, 1.807
 206381467, 0.362, 1.255, 1.805
 206581375, 0.301, 1.255, 1.804
 206781480, 0.32, 1.253, 1.802
 206981472, 0.345, 1.252, 1.801
 207181454, 0.328, 1.25, 1.799
 207381485, 0.314, 1.248, 1.797
 207581616, 0.376, 1.247, 1.795
 207781484, 0.375, 1.246, 1.793
 207981478, 0.357, 1.245, 1.792
 208201468, 0.386, 1.245, 1.792
 208401471, 0.384, 1.244, 1.791
 208581463, 0.38, 1.244, 1.79
 208781478, 0.305, 1.243, 1.788
 208981642, 0.352, 1.242, 1.786
 209181477, 0.376, 1.241, 1.785
 209381628, 0.373, 1.24, 1.784
 209581358, 0.303, 1.24, 1.784
 209781491, 0.341, 1.24, 1.783
 209981525, 0.385, 1.24, 1.783
 210181487, 0.283, 1.24, 1.782
 210381496, 0.309, 1.239, 1.781
 210601486, 0.298, 1.239, 1.781
 210781504, 0.324, 1.239, 1.78
 210981500, 0.38, 1.238, 1.779
 211181629, 0.378, 1.237, 1.777
 211381486, 0.311, 1.237, 1.776
 211581490, 0.374, 1.236, 1.775
 211781496, 0.357, 1.235, 1.774
 211981497, 0.286, 1.23, 1.767
 212181495, 0.339, 1.228, 1.767
 212381518, 0.33, 1.224, 1.761
 212581478, 0.343, 1.224, 1.757
 212781525, 0.37, 1.226, 1.761
 212981648, 0.392, 1.229, 1.767
 213181652, 0.383, 1.234, 1.775
 213381516, 0.356, 1.237, 1.782
 213581477, 0.356, 1.241, 1.79
 213781508, 0.347, 1.244, 1.797
 213981510, 0.283, 1.244, 1.803
