Threshold,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR)
1,0.0,0.0,0.04,0.7428571428571429,0.0,0.12857142857142856
2,0.0,0.0,0.02,0.7246376811594203,0.0,0.08695652173913043
3,0.0,0.0,0.0,0.7058823529411765,0.0,0.04411764705882353
4,0.0,0.0,0.0,0.6865671641791045,0.0,0.0
5,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
6,0.0,0.0,0.0,0.6461538461538462,0.0,0.0
7,0.0,0.0,0.0,0.625,0.0,0.0
8,0.0,0.0,0.0,0.6031746031746031,0.0,0.0
9,0.0,0.0,0.0,0.5806451612903226,0.0,0.0
10,0.0,0.0,0.0,0.5573770491803278,0.0,0.0
11,0.0,0.0,0.0,0.5333333333333333,0.0,0.0
12,0.0,0.0,0.0,0.5084745762711864,0.0,0.0
13,0.0,0.0,0.0,0.4827586206896552,0.0,0.0
14,0.0,0.0,0.0,0.45614035087719296,0.0,0.0
15,0.0,0.0,0.0,0.42857142857142855,0.0,0.0
16,0.0,0.0,0.0,0.4,0.0,0.0
17,0.0,0.0,0.0,0.37037037037037035,0.0,0.0
18,0.0,0.0,0.0,0.33962264150943394,0.0,0.0
19,0.0,0.0,0.0,0.3076923076923077,0.0,0.0
20,0.0,0.0,0.0,0.27450980392156865,0.0,0.0
21,0.0,0.0,0.0,0.24,0.0,0.0
22,0.0,0.0,0.0,0.20408163265306123,0.0,0.0
23,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
24,0.0,0.0,0.0,0.1276595744680851,0.0,0.0
25,0.0,0.0,0.0,0.08695652173913043,0.0,0.0
26,0.0,0.0,0.0,0.044444444444444446,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
