Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.030303030303030304,0.5702479338842975,0.29201101928374656
2,0.013812154696132596,0.4889502762430939,0.15469613259668508
3,0.0110803324099723,0.4293628808864266,0.09141274238227147
4,0.005555555555555556,0.37777777777777777,0.06388888888888888
5,0.002785515320334262,0.3342618384401114,0.04456824512534819
6,0.0,0.29608938547486036,0.036312849162011177
7,0.0,0.2661064425770308,0.03081232492997199
8,0.0,0.23876404494382023,0.025280898876404494
9,0.0,0.21690140845070421,0.01971830985915493
10,0.0,0.1977401129943503,0.014124293785310734
11,0.0,0.17847025495750707,0.0113314447592068
12,0.0,0.16193181818181818,0.008522727272727272
13,0.0,0.14814814814814814,0.005698005698005698
14,0.0,0.13428571428571429,0.002857142857142857
15,0.0,0.12607449856733524,0.0
16,0.0,0.11781609195402298,0.0
17,0.0,0.10951008645533142,0.0
18,0.0,0.10115606936416185,0.0
19,0.0,0.0927536231884058,0.0
20,0.0,0.08430232558139535,0.0
21,0.0,0.07580174927113703,0.0
22,0.0,0.07017543859649122,0.0
23,0.0,0.06451612903225806,0.0
24,0.0,0.058823529411764705,0.0
25,0.0,0.05309734513274336,0.0
26,0.0,0.047337278106508875,0.0
27,0.0,0.04154302670623145,0.0
28,0.0,0.03571428571428571,0.0
29,0.0,0.03283582089552239,0.0
30,0.0,0.029940119760479042,0.0
