Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.6418732782369146,0.0
2,0.6132596685082873,0.0
3,0.592797783933518,0.0
4,0.5722222222222222,0.0
5,0.5571030640668524,0.0
6,0.5418994413407822,0.0
7,0.5266106442577031,0.0
8,0.5112359550561798,0.0
9,0.5014084507042254,0.0
10,0.4915254237288136,0.0
11,0.48158640226628896,0.0
12,0.4744318181818182,0.0
13,0.4672364672364672,0.0
14,0.46,0.0
15,0.45272206303724927,0.0
16,0.4454022988505747,0.0
17,0.43515850144092216,0.0
18,0.42485549132947975,0.0
19,0.4144927536231884,0.0
20,0.40406976744186046,0.0
21,0.3935860058309038,0.0
22,0.3830409356725146,0.0
23,0.3724340175953079,0.0
24,0.36176470588235293,0.0
25,0.35103244837758113,0.0
26,0.34023668639053256,0.0
27,0.3293768545994065,0.0
28,0.31845238095238093,0.0
29,0.3074626865671642,0.0
30,0.2964071856287425,0.0
