THR,Frames,FPR,TPR,TTD
1,120,0.18,0.7285714285714285,3894
2,119,0.04,0.6811594202898551,4494
3,118,0.0,0.6617647058823529,4674
4,117,0.0,0.6417910447761194,4874
5,116,0.0,0.6212121212121212,5074
6,115,0.0,0.6,5294
7,114,0.0,0.578125,5474
8,113,0.0,0.5555555555555556,5694
9,112,0.0,0.532258064516129,5894
10,111,0.0,0.5081967213114754,6074
11,110,0.0,0.48333333333333334,6274
12,109,0.0,0.4576271186440678,6494
13,108,0.0,0.43103448275862066,6694
14,107,0.0,0.40350877192982454,6898
15,106,0.0,0.375,7098
16,105,0.0,0.34545454545454546,7298
17,104,0.0,0.3148148148148148,7498
18,103,0.0,0.2830188679245283,7698
19,102,0.0,0.25,7898
20,101,0.0,0.21568627450980393,8098
21,100,0.0,0.18,8277
22,99,0.0,0.14285714285714285,8476
23,98,0.0,0.10416666666666667,8677
24,97,0.0,0.06382978723404255,8876
25,96,0.0,0.021739130434782608,9098
26,95,0.0,0.0,0
