Threshold,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR)
1,0.12,0.0,0.1,0.7142857142857143,0.0,0.11428571428571428
2,0.0,0.0,0.04,0.6811594202898551,0.0,0.07246376811594203
3,0.0,0.0,0.0,0.6617647058823529,0.0,0.029411764705882353
4,0.0,0.0,0.0,0.6417910447761194,0.0,0.0
5,0.0,0.0,0.0,0.6212121212121212,0.0,0.0
6,0.0,0.0,0.0,0.6,0.0,0.0
7,0.0,0.0,0.0,0.578125,0.0,0.0
8,0.0,0.0,0.0,0.5555555555555556,0.0,0.0
9,0.0,0.0,0.0,0.532258064516129,0.0,0.0
10,0.0,0.0,0.0,0.5081967213114754,0.0,0.0
11,0.0,0.0,0.0,0.48333333333333334,0.0,0.0
12,0.0,0.0,0.0,0.4576271186440678,0.0,0.0
13,0.0,0.0,0.0,0.43103448275862066,0.0,0.0
14,0.0,0.0,0.0,0.40350877192982454,0.0,0.0
15,0.0,0.0,0.0,0.375,0.0,0.0
16,0.0,0.0,0.0,0.34545454545454546,0.0,0.0
17,0.0,0.0,0.0,0.3148148148148148,0.0,0.0
18,0.0,0.0,0.0,0.2830188679245283,0.0,0.0
19,0.0,0.0,0.0,0.25,0.0,0.0
20,0.0,0.0,0.0,0.21568627450980393,0.0,0.0
21,0.0,0.0,0.0,0.18,0.0,0.0
22,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
23,0.0,0.0,0.0,0.10416666666666667,0.0,0.0
24,0.0,0.0,0.0,0.06382978723404255,0.0,0.0
25,0.0,0.0,0.0,0.021739130434782608,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
