THR,Frames,Tri-Axis FPR,Net FPR,GC FPR
1,363,0.9834710743801653,0.6942148760330579,0.4903581267217631
2,362,0.8646408839779005,0.10220994475138122,0.3674033149171271
3,361,0.7174515235457064,0.06925207756232687,0.27977839335180055
4,360,0.5527777777777778,0.03333333333333333,0.20833333333333334
5,359,0.4233983286908078,0.019498607242339833,0.1532033426183844
6,358,0.3324022346368715,0.013966480446927373,0.10893854748603352
7,357,0.2605042016806723,0.014005602240896359,0.0784313725490196
8,356,0.20786516853932585,0.008426966292134831,0.056179775280898875
9,355,0.17183098591549295,0.005633802816901409,0.03943661971830986
10,354,0.14689265536723164,0.005649717514124294,0.025423728813559324
11,353,0.1274787535410765,0.0056657223796034,0.014164305949008499
12,352,0.11079545454545454,0.002840909090909091,0.008522727272727272
13,351,0.09686609686609686,0.0,0.005698005698005698
14,350,0.07428571428571429,0.0,0.002857142857142857
15,349,0.054441260744985676,0.0,0.0
16,348,0.03735632183908046,0.0,0.0
17,347,0.02881844380403458,0.0,0.0
18,346,0.017341040462427744,0.0,0.0
19,345,0.011594202898550725,0.0,0.0
20,344,0.005813953488372093,0.0,0.0
21,343,0.0029154518950437317,0.0,0.0
22,342,0.0,0.0,0.0
23,341,0.0,0.0,0.0
24,340,0.0,0.0,0.0
25,339,0.0,0.0,0.0
26,338,0.0,0.0,0.0
27,337,0.0,0.0,0.0
28,336,0.0,0.0,0.0
29,335,0.0,0.0,0.0
30,334,0.0,0.0,0.0
