Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.6887052341597796,0.162534435261708,0.03856749311294766
2,0.09944751381215469,0.08839779005524862,0.008287292817679558
3,0.06925207756232687,0.060941828254847646,0.00554016620498615
4,0.03333333333333333,0.044444444444444446,0.002777777777777778
5,0.019498607242339833,0.03064066852367688,0.0
6,0.013966480446927373,0.01675977653631285,0.0
7,0.014005602240896359,0.014005602240896359,0.0
8,0.008426966292134831,0.011235955056179775,0.0
9,0.005633802816901409,0.008450704225352112,0.0
10,0.005649717514124294,0.005649717514124294,0.0
11,0.0056657223796034,0.0028328611898017,0.0
12,0.002840909090909091,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
