Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.9118457300275482,0.6060606060606061,0.12672176308539945
2,0.7044198895027625,0.47790055248618785,0.06629834254143646
3,0.46537396121883656,0.37950138504155123,0.04986149584487535
4,0.28888888888888886,0.30277777777777776,0.03611111111111111
5,0.1977715877437326,0.24233983286908078,0.033426183844011144
6,0.13687150837988826,0.19553072625698323,0.030726256983240222
7,0.08683473389355742,0.16246498599439776,0.028011204481792718
8,0.0702247191011236,0.13202247191011235,0.025280898876404494
9,0.059154929577464786,0.10985915492957747,0.022535211267605635
10,0.05084745762711865,0.09322033898305085,0.01977401129943503
11,0.039660056657223795,0.0821529745042493,0.0169971671388102
12,0.03409090909090909,0.07102272727272728,0.014204545454545454
13,0.03133903133903134,0.05982905982905983,0.011396011396011397
14,0.022857142857142857,0.04857142857142857,0.008571428571428572
15,0.017191977077363897,0.03724928366762178,0.0057306590257879654
16,0.014367816091954023,0.02586206896551724,0.0028735632183908046
17,0.011527377521613832,0.01729106628242075,0.0
18,0.005780346820809248,0.011560693641618497,0.0
19,0.002898550724637681,0.008695652173913044,0.0
20,0.0,0.005813953488372093,0.0
21,0.0,0.0029154518950437317,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
