TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
PSCN, 232836671, 1.326561, 1.326561, -0.007507558, -0.007507558, -0.007507558, 0, -8.600489E-06, -8.600491E-06
PSCN, 232936543, 1.32598, 1.32598, -0.006923506, -0.006923506, -0.006923506, 0, -8.600221E-06, -8.600224E-06
PSCN, 233036720, 1.325429, 1.325429, -0.007386432, -0.007386432, -0.007386432, 0, -8.59686E-06, -8.59686E-06
PSCN, 233136535, 1.324518, 1.324518, -0.005485116, -0.005485116, -0.005485116, 0, -8.593059E-06, -8.593062E-06
PSCN, 233236422, 1.323114, 1.323114, -0.006152143, -0.006152143, -0.006152143, 0, -8.595277E-06, -8.595278E-06
PSCN, 233336470, 1.32193, 1.32193, -0.006511638, -0.006511638, -0.006511638, 0, -8.597462E-06, -8.597463E-06
PSCN, 233436476, 1.320947, 1.320947, -0.007274115, -0.007274115, -0.007274115, 0, -8.588543E-06, -8.588541E-06
PSCN, 233536468, 1.320505, 1.320505, -0.00612421, -0.00612421, -0.00612421, 0, -8.591386E-06, -8.591387E-06
PSCN, 233636469, 1.320756, 1.320756, -0.006014212, -0.006014212, -0.006014212, 0, -8.593767E-06, -8.593768E-06
PSCN, 233736544, 1.322345, 1.322345, -0.003565072, -0.003565072, -0.003565072, 0, -8.593692E-06, -8.593689E-06
PSCN, 233836534, 1.325817, 1.325817, -0.001141908, -0.001141908, -0.001141908, 0, -8.593488E-06, -8.593485E-06
PSCN, 233936611, 1.32859, 1.32859, 0.00141628, 0.00141628, 0.00141628, 0, -8.593442E-06, -8.593441E-06
PSCN, 234036509, 1.330785, 1.330785, 0.002470584, 0.002470584, 0.002470584, 0, -8.602096E-06, -8.602096E-06
PSCN, 234136503, 1.332763, 1.332763, 0.003253287, 0.003253287, 0.003253287, 0, -8.593955E-06, -8.593954E-06
PSCN, 234236571, 1.334848, 1.334848, 0.005548922, 0.005548922, 0.005548922, 0, -8.588753E-06, -8.588754E-06
PSCN, 234336549, 1.337128, 1.337128, 0.0067855, 0.0067855, 0.0067855, 0, -8.590438E-06, -8.590438E-06
PSCN, 234436559, 1.339821, 1.339821, 0.008330749, 0.008330749, 0.008330749, 0, -8.589313E-06, -8.589314E-06
PSCN, 234536486, 1.342283, 1.342283, 0.00957523, 0.00957523, 0.00957523, 0, -8.589891E-06, -8.589893E-06
PSCN, 234636620, 1.344653, 1.344653, 0.01053434, 0.01053434, 0.01053434, 0, -8.587454E-06, -8.587449E-06
PSCN, 234736425, 1.34732, 1.34732, 0.01251459, 0.01251459, 0.01251459, 0, -8.58839E-06, -8.588394E-06
PSCN, 234836582, 1.35051, 1.35051, 0.01406397, 0.01406397, 0.01406397, 0, -8.583585E-06, -8.583587E-06
PSCN, 234936478, 1.353192, 1.353192, 0.01572108, 0.01572108, 0.01572108, 0, -8.584666E-06, -8.58467E-06
PSCN, 235036423, 1.355355, 1.355355, 0.01605948, 0.01605948, 0.01605948, 0, -8.58418E-06, -8.584177E-06
PSCN, 235136564, 1.357374, 1.357374, 0.01741898, 0.01741898, 0.01741898, 0, -8.581258E-06, -8.581254E-06
PSCN, 235236413, 1.359336, 1.359336, 0.01830488, 0.01830488, 0.01830488, 0, -8.581235E-06, -8.581238E-06
PSCN, 235336554, 1.361362, 1.361362, 0.01991701, 0.01991701, 0.01991701, 0, -8.58184E-06, -8.58184E-06
PSCN, 235436553, 1.3636, 1.3636, 0.02078108, 0.02078108, 0.02078108, 0, -8.580077E-06, -8.580079E-06
PSCN, 235536585, 1.365553, 1.365553, 0.02049128, 0.02049128, 0.02049128, 0, -8.577777E-06, -8.577777E-06
PSCN, 235636623, 1.36724, 1.36724, 0.02123261, 0.02123261, 0.02123261, 0, -8.572481E-06, -8.572481E-06
PSCN, 235736566, 1.368496, 1.368496, 0.02109594, 0.02109594, 0.02109594, 0, -8.567135E-06, -8.567133E-06
PSCN, 235836526, 1.369185, 1.369185, 0.02188898, 0.02188898, 0.02188898, 0, -8.564856E-06, -8.564855E-06
PSCN, 235936533, 1.369387, 1.369387, 0.02102784, 0.02102784, 0.02102784, 0, -8.561046E-06, -8.561044E-06
PSCN, 236036455, 1.368707, 1.368707, 0.01964681, 0.01964681, 0.01964681, 0, -8.551888E-06, -8.55189E-06
PSCN, 236136466, 1.367892, 1.367892, 0.01885759, 0.01885759, 0.01885759, 0, -8.556657E-06, -8.556659E-06
PSCN, 236236515, 1.366628, 1.366628, 0.01771045, 0.01771045, 0.01771045, 0, -8.559118E-06, -8.559119E-06
PSCN, 236336458, 1.365393, 1.365393, 0.01717893, 0.01717893, 0.01717893, 0, -8.557176E-06, -8.557175E-06
PSCN, 236436531, 1.363861, 1.363861, 0.0155936, 0.0155936, 0.0155936, 0, -8.556899E-06, -8.5569E-06
PSCN, 236536454, 1.363544, 1.363544, 0.01589069, 0.01589069, 0.01589069, 0, -8.557206E-06, -8.557202E-06
PSCN, 236636580, 1.36454, 1.36454, 0.01628666, 0.01628666, 0.01628666, 0, -8.560561E-06, -8.560561E-06
PSCN, 236736400, 1.365903, 1.365903, 0.01748516, 0.01748516, 0.01748516, 0, -8.55949E-06, -8.559488E-06
PSCN, 236836484, 1.367637, 1.367637, 0.01875563, 0.01875563, 0.01875563, 0, -8.562037E-06, -8.56204E-06
PSCN, 236936562, 1.369454, 1.369454, 0.01997558, 0.01997558, 0.01997558, 0, -8.564389E-06, -8.564387E-06
PSCN, 237036545, 1.371267, 1.371267, 0.02076353, 0.02076353, 0.02076353, 0, -8.564326E-06, -8.56433E-06
PSCN, 237136553, 1.373098, 1.373098, 0.02154497, 0.02154497, 0.02154497, 0, -8.567236E-06, -8.567238E-06
PSCN, 237236636, 1.374849, 1.374849, 0.0220545, 0.0220545, 0.0220545, 0, -8.567654E-06, -8.567652E-06
PSCN, 237336634, 1.375758, 1.375758, 0.02209076, 0.02209076, 0.02209076, 0, -8.573868E-06, -8.573866E-06
PSCN, 237436582, 1.375445, 1.375445, 0.02122846, 0.02122846, 0.02122846, 0, -8.577464E-06, -8.577468E-06
