TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
 108698083, 3.58, 3.08, -2.72, -2.94, 273.33, 272.89, 0.05, 0.03, 3
 108702044, 3.57, 3.14, -2.71, -3.08, 273.33, 272.91, 0.05, 0.03, 3
 108703215, 3.57, 3.25, -2.71, -3.14, 273.33, 272.89, 0.05, 0.03, 3
 108705556, 3.56, 3.37, -2.7, -3.14, 273.33, 272.88, 0.06, 0.03, 3
 108708130, 3.56, 3.33, -2.7, -3.14, 273.33, 272.89, 0.06, 0.03, 3
 108710548, 3.55, 3.29, -2.69, -3.24, 273.33, 272.88, 0.06, 0.03, 3
 108713562, 3.55, 3.36, -2.69, -3.29, 273.33, 272.88, 0.06, 0.03, 3
 108715600, 3.55, 3.45, -2.68, -3.32, 273.33, 272.88, 0.06, 0.03, 3
 108718071, 3.54, 3.5, -2.68, -3.31, 273.33, 272.86, 0.06, 0.03, 3
 108720560, 3.54, 3.43, -2.68, -3.27, 273.33, 272.91, 0.06, 0.03, 3
 108723320, 3.54, 3.35, -2.68, -3.25, 273.33, 272.93, 0.06, 0.03, 3
 108726243, 3.53, 3.38, -2.68, -3.26, 273.33, 272.92, 0.06, 0.02, 3
 108728559, 3.53, 3.39, -2.68, -3.26, 273.33, 272.95, 0.06, 0.02, 3
 108730579, 3.53, 3.41, -2.69, -3.22, 273.33, 272.93, 0.06, 0.02, 3
 108733140, 3.53, 3.37, -2.69, -3.16, 273.33, 272.93, 0.06, 0.02, 3
 108735522, 3.53, 3.31, -2.7, -3.05, 273.33, 272.96, 0.06, 0.02, 3
 108738448, 3.53, 3.26, -2.7, -3.03, 273.33, 272.93, 0.06, 0.02, 3
 108740535, 3.53, 3.22, -2.71, -3.01, 273.33, 272.98, 0.06, 0.02, 3
 108743128, 3.54, 3.21, -2.72, -2.98, 273.33, 272.99, 0.06, 0.02, 3
 108745541, 3.54, 3.13, -2.73, -2.9, 273.33, 273, 0.06, 0.02, 3
 108748330, 3.55, 3.12, -2.74, -2.84, 273.33, 273.01, 0.06, 0.02, 3
 108750822, 3.55, 3.1, -2.74, -2.78, 273.33, 272.99, 0.06, 0.02, 3
 108753130, 3.55, 3.06, -2.75, -2.81, 273.33, 272.99, 0.06, 0.02, 3
 108755559, 3.56, 3.03, -2.76, -2.79, 273.33, 272.96, 0.06, 0.02, 3
 108758091, 3.57, 3.03, -2.76, -2.76, 273.33, 272.97, 0.06, 0.02, 3
 108760573, 3.57, 3.04, -2.76, -2.71, 273.33, 272.98, 0.06, 0.02, 3
