TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
82688692,-0.4755404,-0.4662649,5.93E-05,-0.0092161,-0.00848126,0.002345702,-0.2402774,-0.2486627
82788685,-0.4755086,-0.4658867,0.000808286,-0.008813563,0.000421329,0.01536059,-0.2386948,-0.2528389
82888607,-0.4753357,-0.4665621,0.003261972,-0.005511641,0.02611486,0.03843402,-0.2043964,-0.2362813
82988649,-0.4748532,-0.467687,0.007837434,0.000671259,0.02059602,0.06328301,-0.1804405,-0.2053577
83088745,-0.473904,-0.4680597,0.01437364,0.00852937,0.003450789,0.08726866,-0.1204726,-0.1799206
83188576,-0.4723631,-0.467648,0.02267033,0.01795521,0.01604246,0.1104514,-0.1212184,-0.1542745
83288685,-0.4701123,-0.4663755,0.03263603,0.02889923,0.01396625,0.1330613,-0.1066565,-0.1305042
83388640,-0.467014,-0.4638919,0.04429846,0.04117636,0.05708627,0.1553978,-0.1029171,-0.1117139
83488764,-0.4629188,-0.4606779,0.05770835,0.05546744,0.04892219,0.1776431,-0.06949585,-0.09422341
83588629,-0.4576678,-0.4561008,0.07291958,0.0713525,0.06911413,0.1999022,-0.02285879,-0.06592527
83688657,-0.4510906,-0.4488256,0.0899943,0.08772928,0.09196921,0.2222481,0.000454922,-0.04102181
83788787,-0.4430023,-0.4389206,0.1090042,0.1049225,0.08450549,0.2447379,0.02125759,-0.02426437
83888595,-0.4332105,-0.4268649,0.1300122,0.1236666,0.1167641,0.2674005,0.0231118,0.002105659
84188672,-0.3916232,-0.3764781,0.2055089,0.1903637,0.1693056,0.3364713,0.1211309,0.02883806
84288621,-0.3729982,-0.354909,0.2349736,0.2168844,0.2010479,0.3598491,0.1660405,0.01840717
84388746,-0.3516352,-0.3312419,0.2666479,0.2462547,0.2194635,0.3833936,0.1954266,0.02908253
84488702,-0.3273127,-0.3039334,0.3005649,0.2771856,0.2359434,0.4070981,0.2104016,0.07910505
84588668,-0.2998052,-0.2730225,0.3367558,0.3099731,0.2877882,0.4309563,0.2043898,0.1673298
84688617,-0.2688825,-0.2378252,0.3752505,0.3441932,0.3308968,0.4549622,0.2179893,0.2715763
84788680,-0.23431,-0.1977185,0.4160775,0.3794861,0.3845237,0.4791101,0.1766858,0.3281763
84888627,-0.1958497,-0.1521317,0.4592638,0.4155458,0.4425124,0.5033942,0.1469656,0.3370523
84988710,-0.1532597,-0.1014293,0.5048352,0.4530048,0.485926,0.5278093,0.1447971,0.2922375
85088608,-0.1062954,-0.04151338,0.5527728,0.4879908,0.5444638,0.5504858,0.05524963,0.2269049
85188666,-0.05472851,0.02645099,0.602628,0.5214485,0.6038334,0.564499,0.03991977,0.1405301
