TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
PSCN, 155471153, -0.2640452, -0.2640452, 0.02561249, 0.02561249, 0.02561249, 0, 2.445409E-05, 2.445409E-05
PSCN, 155571036, -0.2632917, -0.2632917, 0.02555401, 0.02555401, 0.02555401, 0, 2.445328E-05, 2.445328E-05
PSCN, 155671102, -0.2645187, -0.2645187, 0.02414846, 0.02414846, 0.02414846, 0, 2.445181E-05, 2.44518E-05
PSCN, 155771056, -0.2656195, -0.2656195, 0.02250333, 0.02250333, 0.02250333, 0, 2.445271E-05, 2.445271E-05
PSCN, 155871010, -0.2677567, -0.2677567, 0.02021101, 0.02021101, 0.02021101, 0, 2.445024E-05, 2.445024E-05
PSCN, 155971005, -0.2695335, -0.2695335, 0.01836165, 0.01836165, 0.01836165, 0, 2.444774E-05, 2.444774E-05
PSCN, 156070999, -0.2720606, -0.2720606, 0.01644776, 0.01644776, 0.01644776, 0, 2.445014E-05, 2.445014E-05
PSCN, 156170959, -0.2740842, -0.2740842, 0.01527925, 0.01527925, 0.01527925, 0, 2.445129E-05, 2.445129E-05
PSCN, 156270978, -0.2764366, -0.2764366, 0.01319665, 0.01319665, 0.01319665, 0, 2.445088E-05, 2.445087E-05
PSCN, 156370954, -0.2783, -0.2783, 0.01162591, 0.01162591, 0.01162591, 0, 2.44535E-05, 2.44535E-05
PSCN, 156471113, -0.2797468, -0.2797468, 0.01072088, 0.01072088, 0.01072088, 0, 2.445484E-05, 2.445485E-05
PSCN, 156571061, -0.2806542, -0.2806542, 0.009705652, 0.009705652, 0.009705652, 0, 2.445463E-05, 2.445463E-05
PSCN, 156670939, -0.2821738, -0.2821738, 0.008845501, 0.008845501, 0.008845501, 0, 2.445437E-05, 2.445437E-05
PSCN, 156771049, -0.2834039, -0.2834039, 0.007607328, 0.007607328, 0.007607328, 0, 2.44559E-05, 2.44559E-05
PSCN, 156870919, -0.2858422, -0.2858422, 0.00541521, 0.00541521, 0.00541521, 0, 2.445566E-05, 2.445566E-05
PSCN, 156971007, -0.2881499, -0.2881499, 0.003641946, 0.003641946, 0.003641946, 0, 2.445618E-05, 2.445618E-05
PSCN, 157070989, -0.2898535, -0.2898535, 0.002297568, 0.002297568, 0.002297568, 0, 2.445515E-05, 2.445516E-05
PSCN, 157171128, -0.291087, -0.291087, 0.001047833, 0.001047833, 0.001047833, 0, 2.445605E-05, 2.445605E-05
PSCN, 157271009, -0.2892209, -0.2892209, 0.002791332, 0.002791332, 0.002791332, 0, 2.445602E-05, 2.445602E-05
PSCN, 157370994, -0.2866357, -0.2866357, 0.004913829, 0.004913829, 0.004913829, 0, 2.44524E-05, 2.44524E-05
PSCN, 157471148, -0.2842031, -0.2842031, 0.006442828, 0.006442828, 0.006442828, 0, 2.445155E-05, 2.445155E-05
PSCN, 157570977, -0.2818815, -0.2818815, 0.007974288, 0.007974288, 0.007974288, 0, 2.445124E-05, 2.445124E-05
PSCN, 157671075, -0.2795309, -0.2795309, 0.008739856, 0.008739856, 0.008739856, 0, 2.446339E-05, 2.446388E-05
PSCN, 157771004, -0.2772883, -0.2772883, 0.01003969, 0.01003969, 0.01003969, 0, 2.448457E-05, 2.448506E-05
PSCN, 157871034, -0.2747575, -0.2747575, 0.01128075, 0.01128075, 0.01128075, 0, 2.450579E-05, 2.450628E-05
PSCN, 157970975, -0.2722649, -0.2722649, 0.01251025, 0.01251025, 0.01251025, 0, 2.452744E-05, 2.452793E-05
PSCN, 158070968, -0.2713992, -0.2713992, 0.01201038, 0.01201038, 0.01201038, 0, 2.454662E-05, 2.454711E-05
PSCN, 158171048, -0.2708978, -0.2708978, 0.01139216, 0.01139216, 0.01139216, 0, 2.456515E-05, 2.456563E-05
PSCN, 158271023, -0.2690364, -0.2690364, 0.01196115, 0.01196115, 0.01196115, 0, 2.458313E-05, 2.458361E-05
PSCN, 158371065, -0.2669029, -0.2669029, 0.01294526, 0.01294526, 0.01294526, 0, 2.460212E-05, 2.460261E-05
PSCN, 158471023, -0.2644522, -0.2644522, 0.01372227, 0.01372227, 0.01372227, 0, 2.46212E-05, 2.462168E-05
PSCN, 158571027, -0.2619765, -0.2619765, 0.01540573, 0.01540573, 0.01540573, 0, 2.46412E-05, 2.464168E-05
